brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Hp,PAVILION INTEL CORE I5 12TH GEN,69990,16.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Dell,CORE I5 12TH GEN,54990,31.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,5.0
Asus,VIVOBOOK K15 OLED RYZEN 7 OCTA CORE AMD R7,56990,34.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,VIVOBOOK K15 OLED RYZEN 7 OCTA CORE AMD R7,56990,34.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Lenovo,IDEAPAD 3 CORE I3 10TH GEN,33990,42.0,8.0,0.0,0.0,0.0,11.0,256.0,0.0,15.6,1.0,0,0,0,0,3.0
Asus,VIVOBOOK PRO 15 OLED RYZEN 7 OCTA CORE AMD R7,64990,26.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,TUF DASH F15 CORE I7 12TH GEN,95990,25.0,0.0,16.0,0.0,64.0,11.0,1024.0,0.0,15.6,1.0,0,0,0,0,7.0
Lenovo,INTEL CORE I3 11TH GEN,33990,29.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,15.6,2.0,0,0,0,0,3.0
Acer,NITRO 5 RYZEN 7 OCTA CORE AMD R7,94990,20.0,16.0,0.0,0.0,64.0,10.0,256.0,1024.0,15.6,1.0,0,0,7,0,0.0
Msi,KATANA GF66 CORE I5 12TH GEN,76990,31.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,2.0,0,0,0,0,5.0
Asus,ZENBOOK FLIP 14 OLED,85990,30.0,0.0,16.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Hp,PAVILION INTEL CORE I5 12TH GEN,62499,15.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Apple,MACBOOK AIR M1,112900,23.65,16.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Hp,PAVILION RYZEN 5 HEXA CORE 5625U,61990,14.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,5,0.0
Asus,TUF GAMING F15,118990,34.0,0.0,16.0,0.0,64.0,11.0,1024.0,0.0,15.6,1.0,0,0,0,0,7.0
Asus,TUF GAMING A17,88990,32.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,17.3,1.0,0,0,7,0,0.0
Lenovo,IDEAPAD 3 CORE I3 11TH GEN,41490,30.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,2.0,0,0,0,0,3.0
Apple,MACBOOK AIR M1,105990,6.0,16.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Lenovo,INTEL CORE I3 10TH GEN,33990,32.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,2.0,0,0,0,0,3.0
Dell,VOSTRO CORE I3 10TH GEN,36990,32.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Samsung,GALAXY BOOK GO SNAPDRAGON 7C GEN 2,32990,31.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Asus,VIVOBOOK S14 OLED,70990,28.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Apple,2020 MACBOOK AIR M1,86990,12.0,8.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Dell,VOSTRO RYZEN 7 OCTA CORE 5825U,99693,23.65,16.0,0.0,0.0,64.0,11.0,512.0,0.0,16.0,1.0,0,0,7,0,0.0
Asus,CORE I3 10TH GEN,33990,25.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Apple,2022 MACBOOK AIR M2,112490,6.0,0.0,0.0,0.0,0.0,other,256.0,0.0,13.6,1.0,0,0,0,0,0.0
Asus,VIVOBOOK 15 CORE I5 11TH GEN,48990,30.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Lenovo,IDEAPAD 3 CORE I5 12TH GEN,58490,23.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,2.0,0,0,0,0,5.0
Apple,2021 MACBOOK PRO M1 MAX,309490,6.0,0.0,0.0,0.0,0.0,other,1024.0,0.0,16.2,1.0,0,0,0,0,0.0
Hp,PAVILION INTEL CORE I5 12TH GEN,72990,12.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,VIVOBOOK ULTRA 14,56990,30.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Dell,INSPIRON CORE I3 11TH GEN,39990,30.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Asus,CHROMEBOOK CELERON DUAL CORE,17990,30.0,4.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,
Lenovo,IDEAPAD CORE I5 11TH GEN,54990,34.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,5.0
Asus,TUF GAMING F15 CORE I5 10TH GEN,54990,26.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,ROG STRIX G15,124990,29.0,0.0,16.0,0.0,0.0,11.0,1024.0,0.0,15.6,1.0,0,0,7,0,0.0
Dell,INSPIRON CORE I3 11TH GEN,44890,23.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Msi,CREATOR M16 CORE I7 12TH GEN,99990,22.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,16.0,2.0,0,0,0,0,7.0
Asus,ROG STRIX G15 RYZEN 7 OCTA CORE AMD R7,85990,25.0,16.0,0.0,0.0,0.0,11.0,1024.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,VIVOBOOK K15 OLED,45990,26.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Acer,EXTENSA CORE I3 11TH GEN,33990,22.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,3.0
Infinix,INBOOK X2 PLUS CORE I3 11TH GEN,37990,15.0,0.0,0.0,8.0,64.0,11.0,256.0,0.0,15.6,1.0,0,0,0,0,3.0
Msi,ALPHA 15 AMD ADVANTAGE EDITION RYZEN 7 OCTA CORE 5800H,79990,28.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Apple,2022 MACBOOK AIR M2,159000,23.65,0.0,0.0,0.0,0.0,other,512.0,0.0,13.6,1.0,0,0,0,0,0.0
Acer,ASPIRE 3 DUAL CORE 3020E,22990,34.0,4.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,0.0
Dell,CORE I5 12TH GEN,57990,23.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,5.0
Msi,CORE I7 12TH GEN,67990,19.0,16.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,7.0
Asus,ROG STRIX G15,129990,28.0,0.0,16.0,0.0,0.0,11.0,1024.0,0.0,15.6,1.0,0,0,7,0,0.0
Acer,ASPIRE 7 CORE I5 12TH GEN,61990,34.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,VIVOBOOK 15,45990,29.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,ZENBOOK DUO 14,74990,39.0,0.0,0.0,8.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Apple,2022 MACBOOK PRO M2,149900,23.65,0.0,0.0,0.0,0.0,other,512.0,0.0,13.3,1.0,0,0,0,0,0.0
Asus,TUF GAMING A15 WITH 90WHR BATTERY RYZEN 7 OCTA CORE 5800H,89990,16.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Hp,PAVILION RYZEN 5 HEXA CORE 5625U,59815,13.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,5,0.0
Asus,VIVOBOOK PRO 15 RYZEN 7 OCTA CORE AMD R7,58990,28.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,VIVOBOOK FLIP 14 CORE I3 11TH GEN,42990,32.0,0.0,0.0,8.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,3.0
Apple,2020 MACBOOK AIR M1,86990,12.0,8.0,0.0,0.0,0.0,other,256.0,0.0,13.3,1.0,0,0,0,0,0.0
Asus,VIVOBOOK 15 OLED,66990,22.0,0.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,
